"Acenocumarol","acenocumarol","vit-k-antagonistai"
"Ascorbic acid (vit C)","ascorbic-acid-vit-c","vitaminas-c-grynas"
"Atenolol","atenolol","selektyvus-beta-adrenoblokatoriai"
"Atomoxetine","atomoxetine","centrinio-poveikio-simpatomimetikai"
"Atorvastatin","atorvastatin","hmg-coa-reduktazes-inhibitoriai"
"Atorvastatin and amlodipine","atorvastatin-and-amlodipine","hmg-coa-reductase-inhibitors-other-combinations"
"Atracurium","atracurium","kiti-ketvirtinio-amonio-dariniai"
"Atropine","atropine","sunvysnes-alkaloidai-tretiniai-aminai"
"Azathioprine","azathioprine","kiti-imunosupresantai"
"Azelaic acid","azelaic-acid","kiti-vietinio-vartojimo-vaistai-spuogams-gydyti"
"Azelastine","azelastine","kiti-rezorbcinio-veikimo-antihistamininiai-vaistai"
"Azithromycin","azithromycin","makrolidai"
"Baclofen","baclofen","kiti-centrinio-veikimo-miorelaksantai"
"Basiliximab","basiliximab","interleukin-inhibitors"
"Beclometasone","beclometasone","gliukokortikoidai"
"Bemiparin","bemiparin","heparino-preparatai"
"Benzydamine","benzydamine","kiti-vietinio-poveikio-preparatai-burnai"
"Benzyl benzoate","benzyl-benzoate","kiti-ektoparazitocidiniai-preparatai-isk-vaistus-nuo-niezu"
"Benzylpenicillin","benzylpenicillin","beta-laktamazei-jautrus-penicilinai"
"Benzoyl peroxide","benzoyl-peroxide","peroksidai"
"Betahistine","betahistine","antivertigo-preparatai"
"Betamethasone","betamethasone","stipraus-poveikio-kortikosteroidai-iii-grupe"
"Betamethasone and antibiotics","betamethasone-and-antibiotics","stipraus-poveikio-kortikosteroidai-kartu-su-antibiotikais"
"Betaxolol","betaxolol","selektyvus-beta-adrenoblokatoriai"
"Bevacizumab","bevacizumab","monoclonal-antibodies"
"Bicalutamide","bicalutamide","antiadrogenai"
"Bisacodyl","bisacodyl","kontaktiniai-vidurius-paleidziantys-vaistai"
"Bismuth preparations, combinations","bismuth-preparations-combinations","kiti-vietiskai-veikiantys-antihemorojiniai-preparatai"
"Bisoprolol","bisoprolol","selektyvus-beta-adrenoblokatoriai"
"Bleomycin","bleomycin","kiti-citotoksiniai-antibiotikai"
"Botulinum toxin","botulinum-toxin","kiti-periferiniai-miorelaksantai"
"Brimonidine","brimonidine","simpatomimetikai-skirti-glaukomos-gydymui"
"Brinzolamide","brinzolamide","karboanhidrazes-inhibitoriai"
"Bromazepam","bromazepam","benzodiazepino-dariniai"
"Bromhexine","bromhexine","mukolitikai"
"Bromocriptine","bromocriptine","prolaktino-inhibitoriai"
"Budesonide","budesonide","kortikosteroidai"
"Bupivacaine","bupivacaine","amidas"
"Buprenorphine","buprenorphine","drugs-used-in-opioid-dependence"
"Buprenorphine, combinations","buprenorphine-combinations","drugs-used-in-opioid-dependence"
"Burnos gaivinimui, skalavimui","burnos-gaivinimui-skalavimui","burnos-higienos-priemones"
"Buspirone","buspirone","azaspirodekanediono-dariniai"
"Busulfan","busulfan","alkilsulfonatai"
"Butylscopolamine","butylscopolamine","sunvysnes-alkaloidai-pusiau-sintetiniai-ketvirtiniai-amonio-junginiai"
"Cabergoline","cabergoline","prolaktino-inhibitoriai"
"Calcipotriol","calcipotriol","kiti-priespsoriaziniai-vaistai-vietiniam-naudojimui"
"Calcium carbonate","calcium-carbonate","kalcis"
"Calcium folinate","calcium-folinate","detoksikuojantys-preparatai-vartojami-gydant-antinavikiniais-vaistais"
"Candesartan","candesartan","angiotenzino-ii-antagonistai-gryni"
"Capecitabine","capecitabine","pirimidinu-analogai"
"Captopril","captopril","akf-inhibitoriai-gryni"
"Carbamazepine","carbamazepine","karboksamido-dariniai"
"Carbenoxolone","carbenoxolone","kiti-preparatai-opaligei-gydyti"
"Carbocisteine","carbocisteine","mukolitikai"
"Carbohydrates","carbohydrates","tirpalai-parenteraliniam-maitinimui"
"Carboplatin","carboplatin","platinos-dariniai"
"Carvedilol","carvedilol","adrenoblokatoriai-alfa-ir-beta"
"Caspofungin","caspofungin","kiti-rezorbcinio-veikimo-priesgrybeliniai-preparatai"
"Cefadroxil","cefadroxil","cefalosporinai-ir-jiems-giminingi-dariniai"
"Cefazolin","cefazolin","cefalosporinai-ir-jiems-giminingi-dariniai"
"Cefepime","cefepime","fourth-generation-cephalosporins"
"Cefotaxime","cefotaxime","third-generation-cephalosporins"
"Cefprozil","cefprozil","second-generation-cephalosporins"
"Ceftazidime","ceftazidime","third-generation-cephalosporins"
"Ceftriaxone","ceftriaxone","third-generation-cephalosporins"
"Cefuroxime","cefuroxime","second-generation-cephalosporins"
"Celecoxib","celecoxib","coxibs"
"Cetirizine","cetirizine","piperazino-dariniai"
"Cetylpyridinium","cetylpyridinium","antiseptikai"
"Cetrorelix","cetrorelix","anti-gonadotropin-releasing-hormones"
"Chlorambucil","chlorambucil","azoto-garstyciu-dariniai"
"Chlordiazepoxide","chlordiazepoxide","benzodiazepino-dariniai"
"Chlorhexidine","chlorhexidine","vietinio-poveikio-antiseptikai-burnai"
"Chloropyramine","chloropyramine","pakaitiniai-etileno-diaminai"
"Chlorpheniramine, combinations","chlorpheniramine-combinations","pakaitiniai-alkilaminai"
"Chlorprothixene","chlorprothixene","tioksanteno-dariniai"
"Chlorquinaldol","chlorquinaldol","antiseptikai"
"Cholera, inactivated, whole cell","cholera-inactivated-whole-cell","choleros-vakcinos"
"Choline salicylate","choline-salicylate","salicilo-rugstis-ir-jos-dariniai"
"Chorionic gonadotropin","chorionic-gonadotropin","gonadotropinai"
"Ciclosporin","ciclosporin","selektyvus-imunosupresantai"
"Cinnarizine","cinnarizine","antivertigo-preparatai"
"Cinnarizine, combinations","cinnarizine-combinations","antivertigo-preparatai"
"Ciprofibrate","ciprofibrate","fibratai"
"Ciprofloxacin","ciprofloxacin","fluorochinolonai"
"Cisatracurium","cisatracurium","kiti-ketvirtinio-amonio-dariniai"
"Cisplatin","cisplatin","platinos-dariniai"
"Citalopram","citalopram","selektyvus-serotonino-atgalinio-sugrazinimo-inhibitoriai"
"Cyanocobalamin","cyanocobalamin","vitaminas-b12-cianokobalaminas-ir-jo-dariniai"
"Cyanocobalamin, combinations","cyanocobalamin-combinations","vitaminas-b12-cianokobalaminas-ir-jo-dariniai"
"Cyclopentolate","cyclopentolate","m-cholinoblokatoriai"
"Cyclophosphamide","cyclophosphamide","azoto-garstyciu-dariniai"
"Cyproterone","cyproterone","antiandrogenai"
"Cyproterone and estrogen","cyproterone-and-estrogen","antiandrogenu-ir-estrogenu-deriniai"
"Cytarabine","cytarabine","pirimidinu-analogai"
"Clarithromycin","clarithromycin","makrolidai"
"Clemastine","clemastine","aminoalkiloeteriai"
"Clindamycin","clindamycin","linkozamidai"
"Clindamycin, combinations","clindamycin-combinations","antiinfekciniai-vaistai-spuogams-gydyti"
"Clobetasol","clobetasol","labai-stipraus-poveikio-kortikosteroidai-iv-grupe"
"Clomifene","clomifene","sintetiniai-ovuliacija-stimuliuojantys-vaistai"
"Clomipramine","clomipramine","neselektyvus-monoaminu-atgalinio-sugrazinimo-inhibitoriai"
"Clonazepam","clonazepam","benzodiazepino-dariniai"
"Clopidogrel","clopidogrel","trombocitu-agregacija-slopinantys"
"Clorazepate potassium","clorazepate-potassium","benzodiazepino-dariniai"
"Clotrimazole","clotrimazole","imidazolo-dariniai"
"Clozapine","clozapine","diazepinai-oksazepinai-ir-tiazepinai"
"Coagulation factor IX","coagulation-factor-ix","kraujo-kresejimo-faktoriai"
"Coagulation factor IX, II, VII and X in combination","coagulation-factor-ix-ii-vii-and-x-in-combination","kraujo-kresejimo-faktoriai"
"Coagulation factor VII","coagulation-factor-vii","kraujo-kresejimo-faktoriai"
"Coagulation factor VIII","coagulation-factor-viii","kraujo-kresejimo-faktoriai"
"Codeine, combinations","codeine-combinations","naturalus-opijaus-alkaloidai"
"Colecalciferol","colecalciferol","vitaminas-d-ir-jo-analogai"
"Combinations","combinations","kalis"
"Combinations of electrolytes","combinations-of-electrolytes","elektrolitai"
"Combinations of imidazole derivatives","combinations-of-imidazole-derivatives","imidazolo-dariniai"
"Cough suppressants and expectorants","cough-suppressants-and-expectorants","kiti-kosuli-slopinantys-ir-ekspektorantai"
"Crataegus glycosides","crataegus-glycosides","kiti-sirdi-veikiantys-vaistai"
"Cromoglicic acid","cromoglicic-acid","kiti-antialerginiai-prep"
"Dabigatran etexilate","dabigatran-etexilate","direct-thrombin-inhibitors"
"Dacarbazine","dacarbazine","kiti-alkilinantys-preparatai"
"Dalteparin","dalteparin","heparino-preparatai"
"Dantų pasta","dantu-pasta","burnos-higienos-priemones"
"Dantų protezams","dantu-protezams","burnos-higienos-priemones"
"Dantų šepetėliai","dantu-sepeteliai","burnos-higienos-priemones"
"Darbepoetin alfa","darbepoetin-alfa","kiti-antianeminiai-preparatai"
"Deferiprone","deferiprone","gelezi-surisantys-preparatai"
"Dekoratyvinė kosmetika","dekoratyvine-kosmetika","veido-prieziuros-priemones"
"Depiliacinės priemonės","depiliacines-priemones","kuno-prieziuros-priemones"
"Dequalinium","dequalinium","antiseptikai"
"Desloratadine","desloratadine","kiti-rezorbcinio-veikimo-antihistamininiai-vaistai"
"Desmopressin","desmopressin","vazopresinas-ir-analogai"
"Desogestrel","desogestrel","progestogenai"
"Desogestrel and estrogen","desogestrel-and-estrogen","fiksuoti-progestogenu-ir-estrogenu-deriniai"
"Dexamethasone","dexamethasone","gliukokortikoidai"
"Dexamethasone and antiinfectives","dexamethasone-and-antiinfectives","kortikosteroidu-ir-antiinfekciniu-preparatu-deriniai"
"Dexketoprofen","dexketoprofen","propiono-rugsties-dariniai"
"Dexpanthenol","dexpanthenol","kiti-randejima-skatinantys-vaistai"
"Dextran","dextran","plazmos-pakaitalai-ir-plazmos-baltymu-frakcijos"
"Dextriferron","dextriferron","fe-iii-preparatai-per-os"
"Dezodorantai, antiperspirantai","dezodorantai-antiperspirantai","koju-prieziuros-priemones"
"Dezodorantai, kvepalai","dezodorantai-kvepalai","kuno-prieziuros-priemones"
"Diazepam","diazepam","benzodiazepino-dariniai"
"Diclofenac","diclofenac","acto-rugsties-dariniai-ir-jiems-artimos-medziagos"
"Diclofenac, combinations","diclofenac-combinations","acto-rugsties-dariniai-ir-jiems-artimos-medziagos"
"Dienogest and estrogen","dienogest-and-estrogen","fiksuoti-progestogenu-ir-estrogenu-deriniai"
"Digoxin","digoxin","rusmenes-glikozidai"
"Diltiazem","diltiazem","benzotiazepino-dariniai"
"Dimetindene","dimetindene","antihistamininiai-vaistai-vietiniam-naudojimui"
"Diosmectite","diosmectite","zarnyno-adsorbentai-kiti"
"Diosmin, combinations","diosmin-combinations","bioflavonoidai"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","dipeptidyl-peptidase-4-dpp-4-inhibitors",
"Diphenhydramine","diphenhydramine","antihistamininiai-vaistai-vietiniam-naudojimui"
"Diphtheria-hemophilus influenzae B-pertussis-poliomyelitis-tetanus","diphtheria-hemophilus-influenzae-b-pertussis-poliomyelitis-tetanus","bakterines-ir-virusines-vakcinos-kartu"
"Diphtheria-poliomyelitis-tetanus","diphtheria-poliomyelitis-tetanus","bakterines-ir-virusines-vakcinos-kartu"
"Dydrogesterone","dydrogesterone","prenadieno-dariniai"
"Dydrogesterone and estrogen","dydrogesterone-and-estrogen","atskiri-progestogenu-ir-estrogenu-deriniai"
"Docetaxel","docetaxel","taksanai"
"Domperidone","domperidone","motorika-reguliuojantys"
"Donepezil","donepezil","anticholinesterases"
"Dopamine","dopamine","adrenergines-ir-dopaminergines-medziagos"
"Doripenem","doripenem","karbapenemai"
"Dornase alfa (desoxyribonuclease)","dornase-alfa-desoxyribonuclease","mukolitikai"
"Dorzolamide","dorzolamide","karboanhidrazes-inhibitoriai"
"Doxazosin","doxazosin","alfa-adrenoreceptoriu-antagonistai"
"Doxycycline","doxycycline","tetraciklinai"
"Doxorubicin","doxorubicin","antraciklinai-ir-jiems-giminingi-preparatai"
"Drėgnos servetėlės","dregnos-serveteles","inkontinencijos-priemones"
"Drospirenone and estrogen","drospirenone-and-estrogen","fiksuoti-progestogenu-ir-estrogenu-deriniai"
"Drotaverine","drotaverine","papaverinas-ir-jo-dariniai"
"Druska voniai, purvas, šveitikliai","druska-voniai-purvas-sveitikliai","kuno-prieziuros-priemones"
"Duloxetine","duloxetine","kiti-antidepresantai"
"Dutasteride","dutasteride","testosterono-5-alfa-reduktazes-inhibitoriai"
"Ebastine","ebastine","kiti-rezorbcinio-veikimo-antihistamininiai-vaistai"
"Econazole","econazole","imidazolo-dariniai"
"Efavirenz","efavirenz","ne-nukleozidu-atvirkstines-transriptazes-inhibitoriai"
"Electrolytes","electrolytes","tirpalai-veikiantys-elektrolitu-balansa"
"Eletriptan","eletriptan","selektyvus-5ht1-receptoriu-antagonistai"
"Enalapril","enalapril","akf-inhibitoriai-gryni"
"Enalapril and diuretics","enalapril-and-diuretics","akf-infibitoriai-kartu-su-diuretikais"
"Encephalitis, tick borne, inactivated, whole virus","encephalitis-tick-borne-inactivated-whole-virus","encefalito-vakcinos"
"Enoxaparin","enoxaparin","heparino-preparatai"
"Entacapone","entacapone","kiti-dopaminerginiai-prep"
"Epinephrine","epinephrine","adrenergines-ir-dopaminergines-medziagos"
"Epirubicin","epirubicin","antraciklinai-ir-jiems-giminingi-preparatai"
"Eplerenone","eplerenone","aldosterono-antagonistai"
"Eprosartan","eprosartan","angiotenzino-ii-antagonistai-gryni"
"Eptacog alfa (activated)","eptacog-alfa-activated","kraujo-kresejimo-faktoriai"
"Erythromycin","erythromycin","makrolidai"
"Erythropoietin","erythropoietin","kiti-antianeminiai-preparatai"
"Ertapenem","ertapenem","karbapenemai"
"Escitalopram","escitalopram","selektyvus-serotonino-atgalinio-sugrazinimo-inhibitoriai"
"Esomeprazole","esomeprazole","protonu-siurblio-inhibitoriai"
"Estazolam","estazolam","benzodiazepino-dariniai"
"Estradiol","estradiol","gryni-naturalus-ir-pusiau-sintetiniai-estrogenai"
"Estradiol, combinations","estradiol-combinations","gryni-naturalus-ir-pusiau-sintetiniai-estrogenai"
"Estriol","estriol","gryni-naturalus-ir-pusiau-sintetiniai-estrogenai"
"Etamsylate","etamsylate","kiti-sisteminio-veikimo-hemostatikai"
"Ethambutol","ethambutol","kiti-vaistai-tuberkuliozes-gydymui"
"Ethosuximide","ethosuximide","sukcinimido-dariniai"
"Etomidate","etomidate","kiti-bendrieji-anestetikai"
"Etoposide","etoposide","podofilotoksino-dariniai"
"Etoricoxib","etoricoxib","coxibs"
"Exemestane","exemestane","fermentu-inhibitoriai"
"Exenatide","exenatide","kiti-gliukozes-kieki-kraujyje-mazinantys-vaistai"
"Ezetimibe","ezetimibe","kiti-cholesterolio-ir-trigliceridu-kieki-kraujyje-mazinantys-vaistai"
"Factor VIII inhibitor bypassing activity","factor-viii-inhibitor-bypassing-activity","kraujo-kresejimo-faktoriai"
"Famotidine","famotidine","h2-histamino-receptoriu-blokatoriai"
"Fat emulsions","fat-emulsions","tirpalai-parenteraliniam-maitinimui"
"Felodipine","felodipine","dihidropiridino-dariniai"
"Fenofibrate","fenofibrate","fibratai"
"Fenoterol","fenoterol","selektyvus-beta-2-adrenoreceptoru-agonistai"
"Fenoterol and other anti-asthmatics","fenoterol-and-other-anti-asthmatics","simpatomimetikai-ir-kiti-antiastminiai-vaistai"
"Fentanyl","fentanyl","fenilpiperidino-dariniai"
"Fenticonazole","fenticonazole","imidazolo-dariniai"
"Ferric oxide dextran complex","ferric-oxide-dextran-complex","fe-iii-parenteraliniai-preparatai"
"Ferrous chloride","ferrous-chloride","fe-ii-preparatai-per-os"
"Ferrous fumarate","ferrous-fumarate","fe-preparatai-kartu-su-foline-rugstimi"
"Ferrous gluconate","ferrous-gluconate","fe-ii-preparatai-per-os"
"Ferrous sulfate","ferrous-sulfate","fe-ii-preparatai-per-os"
"Fexofenadine","fexofenadine","kiti-rezorbcinio-veikimo-antihistamininiai-vaistai"
"Filgrastim","filgrastim","kolonijas-stimuliuojantys-faktoriai"
"Finasteride","finasteride","testosterono-5-alfa-reduktazes-inhibitoriai"
"Flavoxate","flavoxate","urologiniaai-antispazminiai"
"Fluconazole","fluconazole","triazolo-dariniai"
"Fludarabine","fludarabine","purinu-analogai"
"Fludrocortisone","fludrocortisone","mineralokortikoidai"
"Flumetasone and antiseptics","flumetasone-and-antiseptics","vidutinio-stiprumo-kortikosteroidai-kartu-su-antiseptikais"
"Fluocinolone acetonide","fluocinolone-acetonide","stipraus-poveikio-kortikosteroidai-iii-grupe"
"Fluocinolone acetonide and antibiotics","fluocinolone-acetonide-and-antibiotics","stipraus-poveikio-kortikosteroidai-kartu-su-antibiotikais"
"Fluorometholone","fluorometholone","kortikosteroidai-gryni"
"Fluorouracil","fluorouracil","pirimidinu-analogai"
"Fluoxetine","fluoxetine","selektyvus-serotonino-atgalinio-sugrazinimo-inhibitoriai"
"Flupentixol","flupentixol","tioksanteno-dariniai"
"Fluphenazine","fluphenazine","fenotiazinai-su-piperazino-struktura"
"Flupirtine","flupirtine","kiti-analgetikai-ir-antipiretikai"
"Flutamide","flutamide","antiadrogenai"
"Fluticasone","fluticasone","gliukokortikoidai"
"Fluticasone furoate","fluticasone-furoate","kortikosteroidai"
"Fluvastatin","fluvastatin","hmg-coa-reduktazes-inhibitoriai"
"Fluvoxamine","fluvoxamine","selektyvus-serotonino-atgalinio-sugrazinimo-inhibitoriai"
"Follitropin alfa","follitropin-alfa","gonadotropinai"
"Fondaparinux","fondaparinux","kiti-antitromboziniai-preparatai"
"Formoterol","formoterol","selektyvus-beta-2-adrenoreceptoru-agonistai"
"Formoterol and other drugs for obstructive airway diseases","formoterol-and-other-drugs-for-obstructive-airway-diseases","simpatomimetikai-ir-kiti-antiastminiai-vaistai"
"Fosfocreatine","fosfocreatine","kiti-sirdi-veikiantys-vaistai"
"Fosinopril","fosinopril","akf-inhibitoriai-gryni"
"Fosinopril and diuretics","fosinopril-and-diuretics","akf-infibitoriai-kartu-su-diuretikais"
"Furosemide","furosemide","sulfonamidai-gryni"
"Fusafungine","fusafungine","antibiotikai"
"Fusidic acid","fusidic-acid","kiti-antibiotikai-vietiniam-naudojimui"
"Gabapentin","gabapentin","kiti-antiepilepsiniai-preparatai"
"Gadobutrol","gadobutrol","paramagnetines-kontrastines-medziagos"
"Gadodiamide","gadodiamide","paramagnetines-kontrastines-medziagos"
"Gadopentetic acid","gadopentetic-acid","paramagnetines-kontrastines-medziagos"
"Ganciclovir","ganciclovir","nukleozidai-ir-nukleotidai-neiskaitant-atvirkstines-transkriptazes-inhibitoriu"
"Ganirelix","ganirelix","anti-gonadotropin-releasing-hormones"
"Gelatin agents","gelatin-agents","plazmos-pakaitalai-ir-plazmos-baltymu-frakcijos"
"Gemcitabine","gemcitabine","pirimidinu-analogai"
"Gentamicin","gentamicin","kiti-aminoglikozidai"
"Gestodene and estrogen","gestodene-and-estrogen","fiksuoti-progestogenu-ir-estrogenu-deriniai"
"Ginkgo biloba","ginkgo-biloba","other-anti-dementia-drugs"
"Gyd.kojinės, pėdkelnės","gyd-kojines-pedkelnes","koju-prieziuros-priemones"
"Glatiramer acetate","glatiramer-acetate","kiti-imunostimuliatoriai"
"Gliclazide","gliclazide","sulfonamidai-slapalo-dariniai"
"Glimepiride","glimepiride","sulfonamidai-slapalo-dariniai"
"Glimepiride and rosiglitazone","glimepiride-and-rosiglitazone","biguanidai-kartu-su-sulfonamidais"
"Glipizide","glipizide","sulfonamidai-slapalo-dariniai"
"Gliquidone","gliquidone","sulfonamidai-slapalo-dariniai"
"Glyceryl trinitrate","glyceryl-trinitrate","organiniai-nitratai"
"Glucagon","glucagon","glikogenolitiniai-hormonai"
"Glucosamine","glucosamine","kiti-nesteroidiniai-priesuzdegiminiai-ir-priesreumatiniai-vaistai"
"Glucose","glucose","angliavandeniai-parenteraliniam-maitinimui"
"Goserelin","goserelin","gonadropino-issisikyrima-skatinancio-hormono-analogai"
"Granisetron","granisetron","serotonino-antagonistas"
"Haloperidol","haloperidol","butyrofenono-dariniai"
"Heparin","heparin","preparatai-su-heparinu-vietiniam-naudojimui"
"Heparin, combinations","heparin-combinations","preparatai-su-heparinu-vietiniam-naudojimui"
"Hepatitis A, inactivated, whole virus","hepatitis-a-inactivated-whole-virus","hepatito-vakcinos"
"Hepatitis B, purified antigen","hepatitis-b-purified-antigen","hepatito-vakcinos"
"Hetastarch","hetastarch","plazmos-pakaitalai-ir-plazmos-baltymu-frakcijos"
"Hexetidine","hexetidine","vietinio-poveikio-antiseptikai-burnai"
"Hexylresorcinol","hexylresorcinol","antiseptikai"
"Hexoprenaline","hexoprenaline","selektyvus-beta2-adrenoreceptoriu-agonistai"
"Hyaluronic acid","hyaluronic-acid","kiti-vaistai-kaulu-ir-raumenu-sistemos-ligoms-gydyti"
"Hydrochlorothiazide","hydrochlorothiazide","tiazidiniai-diuretikai-gryni"
"Hydrocortisone","hydrocortisone","silpno-poveikio-kortikosteroidai-i-grupe"
"Hydrocortisone and antibiotics","hydrocortisone-and-antibiotics","silpno-poveikio-kortikosteroidai-kartu-su-antibiotikais"
"Hydrocortisone butyrate","hydrocortisone-butyrate","vidutinio-stiprumo-kortikosteroidai-ii-grupe"
"Hydrogen peroxide","hydrogen-peroxide","kiti-antiseptikai-ir-dezinfektantai"
"Hydroxycarbamide","hydroxycarbamide","kiti-antinavikiniai-vaistai"
"Hydroxychloroquine","hydroxychloroquine","aminochinolinai"
"Hymecromone","hymecromone","kiti-tulzies-apykaita-veikiantys-prep"
"Ibandronic acid","ibandronic-acid","bisfosfonatai"
"Ibuprofen","ibuprofen","propiono-rugsties-dariniai"
"Ibuprofen, combinations","ibuprofen-combinations","propiono-rugsties-dariniai"
"Ifosfamide","ifosfamide","azoto-garstyciu-dariniai"
"Įklotai","iklotai","intymios-higienos-priemones"
"Imatinib","imatinib","protein-kinase-inhibitors"
"Imiglucerase","imiglucerase","fermentai"
"Imipenem and enzyme inhibitor","imipenem-and-enzyme-inhibitor","karbapenemai"
"Imiquimod","imiquimod","priesvirusiniai"
"Imunitetui stiprinti","imunitetui-stiprinti","vaistazoliu"
"Indapamide","indapamide","sulfonamidai-gryni"
"Indinavir","indinavir","hiv-proteinazes-inhibitorius"
"Indometacin","indometacin","acto-rugsties-dariniai-ir-jiems-artimos-medziagos"
"Influenza, purified antigen","influenza-purified-antigen","gripo-vakcinos"
"Inosine pranobex","inosine-pranobex","kiti-priesvirusiniai-preparatai"
"Insulin (human)","insulin-human","greitai-ir-vidutiniskai-ilgai-veikianciu-insulinu-ir-ju-analogu-deriniai"
"Insulin aspart","insulin-aspart","greitai-veikiantys-insulinai-ir-ju-analogai"
"Insulin detemir","insulin-detemir","ilgai-veikiantys-insulinai-ir-ju-analogai"
"Insulin glargine","insulin-glargine","ilgai-veikiantys-insulinai-ir-ju-analogai"
"Insulin glulisin","insulin-glulisin","greitai-veikiantys-insulinai-ir-ju-analogai"
"Insulin lispro","insulin-lispro","greitai-veikiantys-insulinai-ir-ju-analogai"
"Interferon alfa-2b","interferon-alfa-2b","interferonai"
"Interferon beta-1a","interferon-beta-1a","interferonai"
"Interferon beta-1b","interferon-beta-1b","interferonai"
"Intymios higienos kosmetika","intymios-higienos-kosmetika","intymios-higienos-priemones"
"Intrifiban","intrifiban","trombocitu-agregacija-slopinantys"
"Iodine","iodine","jodo-dariniai"
"Iodixanol","iodixanol","vandenyje-tirpios-nefrotropines-mazos-molekulines-mases-rentgeno-kontrastines-medziagos"
"Iohexol","iohexol","vandenyje-tirpios-nefrotropines-mazos-molekulines-mases-rentgeno-kontrastines-medziagos"
"Iopromide","iopromide","vandenyje-tirpios-nefrotropines-mazos-molekulines-mases-rentgeno-kontrastines-medziagos"
"Ipratropium bromide","ipratropium-bromide","anticholinerginiai"
"Irbesartan","irbesartan","angiotenzino-ii-antagonistai-gryni"
"Isoconazole","isoconazole","imidazolo-dariniai"
"Isoflurane","isoflurane","halogeninti-angliavandeniliai"
"Isoniazid","isoniazid","hidrazidai"
"Isosorbide dinitrate","isosorbide-dinitrate","organiniai-nitratai"
"Isosorbide mononitrate","isosorbide-mononitrate","organiniai-nitratai"
"Isotretinoin","isotretinoin","retinoidai"
"Itraconazole","itraconazole","triazolo-dariniai"
"Ivabradine","ivabradine","kiti-sirdi-veikiantys-vaistai"
"Yellow fever, live attenuated","yellow-fever-live-attenuated","geltonosios-karstines-vakcinos"
"Ypatinga priežiūra","ypatinga-prieziura","veido-prieziuros-priemones"
"Kanamycin","kanamycin","kiti-aminoglikozidai"
"Kaukės, molis","kaukes-molis","veido-prieziuros-priemones"
"Kelnaitės","kelnaites","intymios-higienos-priemones"
"Ketoconazole","ketoconazole","imidazolo-dariniai"
