"Antidiarėjiniai mikroorganizmai","antidiarejiniai-mikroorganizmai","antidiarejiniai-vaistai-vaistai-zarnyno-infekcinems-ir-uzdegiminems-ligoms-gydyti"
"Antidotai","antidotai","visi-kiti-gydomieji-produktai"
"Antiestrogenai","antiestrogenai","antinavikiniai-hormonai-ir-jiems-artimi-vaistai"
"Antiglaukominiai preparatai ir miotikai","antiglaukominiai-preparatai-ir-miotikai","vaistai-akiu-ligoms-gydyti"
"Antihistamininiai vaistai vietiniam naudojimui","antihistamininiai-vaistai-vietiniam-naudojimui","niezuli-mazinantys-vaistai-taip-pat-antihistamininiai-vaistai-anestetikai-ir-kt"
"Antiinfekciniai preparatai","antiinfekciniai-preparatai","vaistai-akiu-ir-ausu-ligoms-gydyti"
"Antiinfekciniai vaistai spuogams gydyti","antiinfekciniai-vaistai-spuogams-gydyti","vaistai-spuogams-gydyti"
"Antioksidantai","antioksidantai","maisto-papildai"
"Antiseptikai","antiseptikai","vaistai-gerkles-ligoms-gydyti"
"Antivertigo preparatai","antivertigo-preparatai","kiti-nervu-sistema-veikiantys-vaistai"
"Antraciklinai ir jiems giminingi preparatai","antraciklinai-ir-jiems-giminingi-preparatai","antinavikiniai-vaistai"
"Apsauginės priemonės nuo saulės ir įdegiui","apsaugines-priemones-nuo-saules-ir-idegiui","kosmetines-priemones"
"Apsaugos priemonės vaikams, kt.","apsaugos-priemones-vaikams-kt","prekes-vaikams"
"Atskiri progestogenų ir estrogenų deriniai","atskiri-progestogenu-ir-estrogenu-deriniai","lytiniai-hormonai-ir-lytine-sistema-veikiantys-vaistai"
"Atskiri progestogenų ir estrogenų preparatai","atskiri-progestogenu-ir-estrogenu-preparatai","lytiniai-hormonai-ir-lytine-sistema-veikiantys-vaistai"
"Azaspirodekanediono dariniai","azaspirodekanediono-dariniai","psicholeptikai"
"Azoto garstyčių dariniai","azoto-garstyciu-dariniai","antinavikiniai-vaistai"
"B tipo MAO inhibitoriai","b-tipo-mao-inhibitoriai","antiparkinsoniniai-vaistai"
"Bakterinės ir virusinės vakcinos kartu","bakterines-ir-virusines-vakcinos-kartu","vakcinos"
"Barbituratai","barbituratai","anestetikai"
"Barbitūratai ir jų dariniai","barbituratai-ir-ju-dariniai","antiepilepsiniai-vaistai"
"Benzamidai","benzamidai","psicholeptikai"
"Benzimidazolo darinys","benzimidazolo-darinys","antihelmintiniai-vaistai"
"Benzodiazepino dariniai","benzodiazepino-dariniai","antiepilepsiniai-vaistai"
"Benzotiazepino dariniai","benzotiazepino-dariniai","kalcio-kanalu-blokatoriai"
"Beta blokatoriai","beta-blokatoriai","vaistai-akiu-ligoms-gydyti"
"Beta-laktamazei atsparūs penicilinai","beta-laktamazei-atsparus-penicilinai","sistemiskai-veikiantys-antibakteriniai-vaistai"
"Beta-laktamazei jautrūs penicilinai","beta-laktamazei-jautrus-penicilinai","sistemiskai-veikiantys-antibakteriniai-vaistai"
"Bičių produktai","biciu-produktai","maisto-papildai"
"Biguanidai","biguanidai","vaistai-diabetui-gydyti"
"Biguanidai kartu su sulfonamidais","biguanidai-kartu-su-sulfonamidais","vaistai-diabetui-gydyti"
"Bioflavonoidai","bioflavonoidai","vazoprotektoriai"
"Bisfosfonatai","bisfosfonatai","vaistai-kaulu-ligoms-gydyti"
"Bisfosfonatai su kalciu, sekvenciniai prep.","bisfosfonatai-su-kalciu-sekvenciniai-prep","vaistai-kaulu-ligoms-gydyti"
"Burnos higienos priemonės","burnos-higienos-priemones","kosmetines-priemones"
"Buteliukai, indai, seilinukai","buteliukai-indai-seilinukai","prekes-vaikams"
"Butyrofenono dariniai","butyrofenono-dariniai","psicholeptikai"
"Ca preparatai","ca-preparatai","maisto-papildai"
"Cefalosporinai ir jiems giminingi dariniai","cefalosporinai-ir-jiems-giminingi-dariniai","sistemiskai-veikiantys-antibakteriniai-vaistai"
"Centrinio poveikio simpatomimetikai","centrinio-poveikio-simpatomimetikai","psichoanaleptikai"
"Centrinio poveikio vaistai nutukimui gydyti","centrinio-poveikio-vaistai-nutukimui-gydyti","vaistai-nutukimui-gydyti-isskyrus-dietinius-produktus"
"Chinino alkaloidai","chinino-alkaloidai","antiprotozojiniai-vaistai"
"Choleros vakcinos","choleros-vakcinos","vakcinos"
"Cholino dariniai","cholino-dariniai","miorelaksantai"
"Ciklinės struktūros aminai","ciklines-strukturos-aminai","sistemiskai-veikiantys-priesvirusiniai-vaistai"
"Coxibs","coxibs","priesuzdegiminiai-ir-priesreumatiniai-vaistai"
"Deriniai su simpatomimetikais(išsk.kortikosteroidus)","deriniai-su-simpatomimetikais-issk-kortikosteroidus","vaistai-nosies-ligoms-gydyti"
"Detoksikuojantys preparatai vartojami gydant antinavikiniais vaistais","detoksikuojantys-preparatai-vartojami-gydant-antinavikiniais-vaistais","visi-kiti-gydomieji-produktai"
"Diagnostinės juostelės","diagnostines-juosteles","matuokliai-ir-kiti-el-prietaisai"
"Diazepinai, oksazepinai ir tiazepinai","diazepinai-oksazepinai-ir-tiazepinai","psicholeptikai"
"Difenilpropilamino dariniai","difenilpropilamino-dariniai","analgetikai"
"Dihidropiridino dariniai","dihidropiridino-dariniai","kalcio-kanalu-blokatoriai"
"Direct thrombin inhibitors","direct-thrombin-inhibitors","antitromboziniai-vaistai"
"DOPA ir jo dariniai","dopa-ir-jo-dariniai","antiparkinsoniniai-vaistai"
"Dopamino agonistai","dopamino-agonistai","antiparkinsoniniai-vaistai"
"Drugs used in alcohol dependence","drugs-used-in-alcohol-dependence","kiti-nervu-sistema-veikiantys-vaistai"
"Drugs used in opioid dependence","drugs-used-in-opioid-dependence","kiti-nervu-sistema-veikiantys-vaistai"
"Ekspektorantai","ekspektorantai","vaistai-nuo-kosulio-ir-persalimo"
"Elektrolitai","elektrolitai","plazmos-pakaitalai-ir-infuziniai-tirpalai"
"Encefalito vakcinos","encefalito-vakcinos","vakcinos"
"Estreno dariniai","estreno-dariniai","sistemiskai-veikiantys-anaboliniai-vaistai"
"Fe preparatai","fe-preparatai","maisto-papildai"
"Fe preparatai kartu su foline rūgštimi","fe-preparatai-kartu-su-foline-rugstimi","antianeminiai-vaistai"
"Fe preparatai, kiti deriniai","fe-preparatai-kiti-deriniai","antianeminiai-vaistai"
"Fe(II) preparatai per os","fe-ii-preparatai-per-os","antianeminiai-vaistai"
"Fe(III) parenteraliniai preparatai","fe-iii-parenteraliniai-preparatai","antianeminiai-vaistai"
"Fe(III)preparatai per os","fe-iii-preparatai-per-os","antianeminiai-vaistai"
"Fenilalkilamino dariniai","fenilalkilamino-dariniai","kalcio-kanalu-blokatoriai"
"Fenilpiperidino dariniai","fenilpiperidino-dariniai","analgetikai"
"Fenolio dariniai","fenolio-dariniai","antiseptikai-ir-dezinfekuojanciosios-medziagos"
"Fenotiazinai su alifatine šonine grandine","fenotiazinai-su-alifatine-sonine-grandine","psicholeptikai"
"Fenotiazinai su piperazino struktūra","fenotiazinai-su-piperazino-struktura","psicholeptikai"
"Fermentai","fermentai","kiti-virskinimo-sistema-ir-metabolizma-veikiantys-vaistai"
"Fermentų inhibitoriai","fermentu-inhibitoriai","antinavikiniai-hormonai-ir-jiems-artimi-vaistai"
"Fermentų preparatai","fermentu-preparatai","virskinima-gerinantys-taip-pat-fermentai"
"Fibratai","fibratai","serumo-lipidu-kieki-mazinantys-vaistai"
"Fiksuoti progestogenų ir estrogenų deriniai","fiksuoti-progestogenu-ir-estrogenu-deriniai","lytiniai-hormonai-ir-lytine-sistema-veikiantys-vaistai"
"Fluoras","fluoras","mineralines-medziagos"
"Fluorochinolonai","fluorochinolonai","sistemiskai-veikiantys-antibakteriniai-vaistai"
"Folinės rūgšties analogai","folines-rugsties-analogai","antinavikiniai-vaistai"
"Folio rūgštis","folio-rugstis","maisto-papildai"
"Fourth-generation cephalosporins","fourth-generation-cephalosporins","sistemiskai-veikiantys-antibakteriniai-vaistai"
"Geležį surišantys preparatai","gelezi-surisantys-preparatai","visi-kiti-gydomieji-produktai"
"Geltonosios karštinės vakcinos","geltonosios-karstines-vakcinos","vakcinos"
"Glikogenolitiniai hormonai","glikogenolitiniai-hormonai","kasos-hormonai"
"Glikopeptidai","glikopeptidai","sistemiskai-veikiantys-antibakteriniai-vaistai"
"Gliukokortikoidai","gliukokortikoidai","sistemiskai-veikiantys-kortikosteroidai"
"Gonadotropinai","gonadotropinai","lytiniai-hormonai-ir-lytine-sistema-veikiantys-vaistai"
"Gonadropino išsisikyrimą skatinančio hormono analogai","gonadropino-issisikyrima-skatinancio-hormono-analogai","antinavikiniai-hormonai-ir-jiems-artimi-vaistai"
"Greitai ir vidutiniškai ilgai veikiančių insulinų ir jų analogų deriniai","greitai-ir-vidutiniskai-ilgai-veikianciu-insulinu-ir-ju-analogu-deriniai","vaistai-diabetui-gydyti"
"Greitai veikiantys insulinai ir jų analogai","greitai-veikiantys-insulinai-ir-ju-analogai","vaistai-diabetui-gydyti"
"Gripo vakcinos","gripo-vakcinos","vakcinos"
"Gryni multivitaminai","gryni-multivitaminai","vitaminai"
"Gryni natūralūs ir pusiau sintetiniai estrogenai","gryni-naturalus-ir-pusiau-sintetiniai-estrogenai","lytiniai-hormonai-ir-lytine-sistema-veikiantys-vaistai"
"H2 histamino receptorių blokatoriai","h2-histamino-receptoriu-blokatoriai","antacidiniai-vaistai-vaistai-opaligei-ir-viduriu-putimui-gydyti"
"Halogeninti angliavandeniliai","halogeninti-angliavandeniliai","anestetikai"
"Heparino preparatai","heparino-preparatai","antitromboziniai-vaistai"
"Hepatito vakcinos","hepatito-vakcinos","vakcinos"
"Hidantoino dariniai","hidantoino-dariniai","antiepilepsiniai-vaistai"
"Hidrazidai","hidrazidai","priesmikobakteriniai-vaistai"
"Hipertoniniai tirpalai","hipertoniniai-tirpalai","plazmos-pakaitalai-ir-infuziniai-tirpalai"
"HIV proteinazės inhibitorius","hiv-proteinazes-inhibitorius","sistemiskai-veikiantys-priesvirusiniai-vaistai"
"HMG CoA reductase inhibitors, other combinations","hmg-coa-reductase-inhibitors-other-combinations","serumo-lipidu-kieki-mazinantys-vaistai"
"HMG CoA reduktazės inhibitoriai","hmg-coa-reduktazes-inhibitoriai","serumo-lipidu-kieki-mazinantys-vaistai"
"Į benzodiazepinus panašūs vaistai","i-benzodiazepinus-panasus-vaistai","psicholeptikai"
"Ilgai veikiantys insulinai ir jų analogai","ilgai-veikiantys-insulinai-ir-ju-analogai","vaistai-diabetui-gydyti"
"Imidazolino receptorių agonistai","imidazolino-receptoriu-agonistai","kraujospudi-mazinantys-vaistai"
"Imidazolo dariniai","imidazolo-dariniai","priesgrybeliniai-vaistai-vartojami-odos-ligoms-gydyti"
"Imidazotiazolo dariniai","imidazotiazolo-dariniai","antihelmintiniai-vaistai"
"Imunitetui","imunitetui","maisto-papildai"
"Indolo dariniai","indolo-dariniai","psicholeptikai"
"Inhaliatoriai, garintuvai","inhaliatoriai-garintuvai","slaugos-priemones"
"Inkontinencijos priemonės","inkontinencijos-priemones","slaugos-priemones"
"Interferonai","interferonai","imunomoduliuojantys-vaistai"
"Interleukin inhibitors","interleukin-inhibitors","imunosupresantai"
"Intymios higienos priemonės","intymios-higienos-priemones","higienos-priemones"
"Intravaginaliniai kontraceptikai","intravaginaliniai-kontraceptikai","kiti-ginekologiniai-vaistai"
"Įvairūs","ivairus","kiti-virskinimo-sistema-ir-metabolizma-veikiantys-vaistai"
"Jodo dariniai","jodo-dariniai","antiseptikai-ir-dezinfekuojanciosios-medziagos"
"Juodosios","juodosios","arbatos"
"Kalcis","kalcis","mineralines-medziagos"
"Kalcis kartu su kitais vaistais","kalcis-kartu-su-kitais-vaistais","mineralines-medziagos"
"Kalis","kalis","mineralines-medziagos"
"Karbapenemai","karbapenemai","sistemiskai-veikiantys-antibakteriniai-vaistai"
"Karboanhidrazės inhibitoriai","karboanhidrazes-inhibitoriai","vaistai-akiu-ligoms-gydyti"
"Karboksamido dariniai","karboksamido-dariniai","antiepilepsiniai-vaistai"
"Kita","kita","pirmosios-pagalbos-priemones"
"Kiti","kiti","matuokliai-ir-kiti-el-prietaisai"
"Kiti alkilinantys preparatai","kiti-alkilinantys-preparatai","antinavikiniai-vaistai"
"Kiti aminoglikozidai","kiti-aminoglikozidai","sistemiskai-veikiantys-antibakteriniai-vaistai"
"Kiti analgetikai ir antipiretikai","kiti-analgetikai-ir-antipiretikai","analgetikai"
"Kiti antialerginiai prep.","kiti-antialerginiai-prep","vaistai-akiu-ligoms-gydyti"
"Kiti antianeminiai preparatai","kiti-antianeminiai-preparatai","antianeminiai-vaistai"
"Kiti antibakteriniai preparatai","kiti-antibakteriniai-preparatai","sistemiskai-veikiantys-antibakteriniai-vaistai"
"Kiti antibiotikai vietiniam naudojimui","kiti-antibiotikai-vietiniam-naudojimui","antibiotikai-ir-chemoterapiniai-vaistai-odos-ligoms-gydyti"
"Kiti antidepresantai","kiti-antidepresantai","psichoanaleptikai"
"Kiti antiemetikai","kiti-antiemetikai","pykinima-ir-vemima-slopinantys-vaistai"
"Kiti antiepilepsiniai preparatai","kiti-antiepilepsiniai-preparatai","antiepilepsiniai-vaistai"
"Kiti antiglaukominiai preparatai","kiti-antiglaukominiai-preparatai","vaistai-akiu-ligoms-gydyti"
"Kiti antiinfekciniai ir antiseptiniai vaistai","kiti-antiinfekciniai-ir-antiseptiniai-vaistai","priesinfekciniai-ir-antiseptiniai-ginekologiniai-vaistai"
"Kiti antiinfekciniai vaistai","kiti-antiinfekciniai-vaistai","vaistai-akiu-ligoms-gydyti"
"Kiti antinavikiniai vaistai","kiti-antinavikiniai-vaistai","antinavikiniai-vaistai"
"Kiti antipsichotiniai vaistai","kiti-antipsichotiniai-vaistai","psicholeptikai"
"Kiti antiseptikai ir dezinfektantai","kiti-antiseptikai-ir-dezinfektantai","antiseptikai-ir-dezinfekuojanciosios-medziagos"
"Kiti antitromboziniai preparatai","kiti-antitromboziniai-preparatai","antitromboziniai-vaistai"
"Kiti bendrieji anestetikai","kiti-bendrieji-anestetikai","anestetikai"
"Kiti centrinio veikimo miorelaksantai","kiti-centrinio-veikimo-miorelaksantai","miorelaksantai"
"Kiti chemoterapiniai preparatai","kiti-chemoterapiniai-preparatai","antibiotikai-ir-chemoterapiniai-vaistai-odos-ligoms-gydyti"
"Kiti chinolonai (neįskant G04AB)","kiti-chinolonai-neiskant-g04ab","sistemiskai-veikiantys-antibakteriniai-vaistai"
"Kiti cholesterolio ir trigliceridų kiekį kraujyje mažinantys vaistai","kiti-cholesterolio-ir-trigliceridu-kieki-kraujyje-mazinantys-vaistai","serumo-lipidu-kieki-mazinantys-vaistai"
"Kiti citotoksiniai antibiotikai","kiti-citotoksiniai-antibiotikai","antinavikiniai-vaistai"
"Kiti deriniai su stipraus poveikio kortikosteroidais","kiti-deriniai-su-stipraus-poveikio-kortikosteroidais","kortikosteroidai-odos-ligoms-gydyti"
"Kiti deriniai su vidutinio stiprumo kortikosteroidais","kiti-deriniai-su-vidutinio-stiprumo-kortikosteroidais","kortikosteroidai-odos-ligoms-gydyti"
"Kiti dermatologiniai vaistai","kiti-dermatologiniai-vaistai","kiti-dermatologiniai-vaistai"
"Kiti dopaminerginiai prep.","kiti-dopaminerginiai-prep","antiparkinsoniniai-vaistai"
"Kiti ektoparazitocidiniai preparatai (įsk.vaistus nuo niežų)","kiti-ektoparazitocidiniai-preparatai-isk-vaistus-nuo-niezu","isoriskai-naudojamos-ektoparazitocidiskos-medziagos"
"Kiti ginekologiniai","kiti-ginekologiniai","kiti-ginekologiniai-vaistai"
"Kiti gydomieji produktai","kiti-gydomieji-produktai","visi-kiti-gydomieji-produktai"
"Kiti gliukozės kiekį kraujyje mažinantys vaistai","kiti-gliukozes-kieki-kraujyje-mazinantys-vaistai","vaistai-diabetui-gydyti"
"Kiti grynų vitaminų preparatai","kiti-grynu-vitaminu-preparatai","vitaminai"
"Kiti i. v. tirpalų priedai","kiti-i-v-tirpalu-priedai","plazmos-pakaitalai-ir-infuziniai-tirpalai"
"Kiti imunostimuliatoriai","kiti-imunostimuliatoriai","imunomoduliuojantys-vaistai"
"Kiti imunosupresantai","kiti-imunosupresantai","imunosupresantai"
"Kiti kaulų mineralizaciją veikiantys preparatai","kiti-kaulu-mineralizacija-veikiantys-preparatai","vaistai-kaulu-ligoms-gydyti"
"Kiti ketvirtinio amonio dariniai","kiti-ketvirtinio-amonio-dariniai","miorelaksantai"
"Kiti kosulį slopinantys ir ekspektorantai","kiti-kosuli-slopinantys-ir-ekspektorantai","vaistai-nuo-kosulio-ir-persalimo"
"Kiti kosulį slopinantys prep.","kiti-kosuli-slopinantys-prep","vaistai-nuo-kosulio-ir-persalimo"
"Kiti kvėpavimo sistemą veikiantys vaistai","kiti-kvepavimo-sistema-veikiantys-vaistai","kiti-kvepavimo-sistema-veikiantys-vaistai"
"Kiti migdantys ir raminantys vaistai","kiti-migdantys-ir-raminantys-vaistai","psicholeptikai"
"Kiti nesteroidiniai priešuždegiminiai ir priešreumatiniai vaistai","kiti-nesteroidiniai-priesuzdegiminiai-ir-priesreumatiniai-vaistai","priesuzdegiminiai-ir-priesreumatiniai-vaistai"
"Kiti odą minkštinantys ir apsaugantys preparatai","kiti-oda-minkstinantys-ir-apsaugantys-preparatai","oda-minkstinantys-ir-apsaugantys-preparatai"
"Kiti opioidai","kiti-opioidai","analgetikai"
"Kiti periferiniai miorelaksantai","kiti-periferiniai-miorelaksantai","miorelaksantai"
"Kiti preparatai akių ligoms gydyti","kiti-preparatai-akiu-ligoms-gydyti","vaistai-akiu-ligoms-gydyti"
"Kiti preparatai opaligei gydyti","kiti-preparatai-opaligei-gydyti","antacidiniai-vaistai-vaistai-opaligei-ir-viduriu-putimui-gydyti"
"Kiti priešpsoriaziniai vaistai vietiniam naudojimui","kiti-priespsoriaziniai-vaistai-vietiniam-naudojimui","vaistai-psoriazei-gydyti"
"Kiti priešvirusiniai preparatai","kiti-priesvirusiniai-preparatai","sistemiskai-veikiantys-priesvirusiniai-vaistai"
"Kiti psichostimuliatoriai ir nootropai","kiti-psichostimuliatoriai-ir-nootropai","psichoanaleptikai"
"Kiti randėjimą skatinantys vaistai","kiti-randejima-skatinantys-vaistai","vaistai-zaizdoms-ir-opoms-gydyti"
"Kiti rezorbcinio veikimo antihistamininiai vaistai","kiti-rezorbcinio-veikimo-antihistamininiai-vaistai","rezorbcinio-veikimo-antihistamininiai-vaistai"
"Kiti rezorbcinio veikimo priešgrybeliniai preparatai","kiti-rezorbcinio-veikimo-priesgrybeliniai-preparatai","sistemiskai-veikiantys-priesgrybeliniai-vaistai"
"Kiti sintetiniai anticholinerginiai preparatai","kiti-sintetiniai-anticholinerginiai-preparatai","antispazminiai-anticholinerginiai-ir-motorika-reguliuojantys-vaistai"
"Kiti sisteminio poveikio antiastminiai vaistai","kiti-sisteminio-poveikio-antiastminiai-vaistai","antiastminiai-vaistai"
"Kiti sisteminio veikimo hemostatikai","kiti-sisteminio-veikimo-hemostatikai","antihemoraginiai-vaistai"
"Kiti širdį veikiantys glikozidai","kiti-sirdi-veikiantys-glikozidai","sirdi-veikiantys-vaistai"
"Kiti širdį veikiantys vaistai","kiti-sirdi-veikiantys-vaistai","sirdi-veikiantys-vaistai"
"Kiti tulžies apykaitą veikiantys prep.","kiti-tulzies-apykaita-veikiantys-prep","vaistai-tulzies-ir-kepenu-ligoms-gydyti"
"Kiti urologiniai","kiti-urologiniai","urologiniai-vaistai"
"Kiti vaistai kaulų ir raumenų sistemos ligoms gydyti","kiti-vaistai-kaulu-ir-raumenu-sistemos-ligoms-gydyti","kiti-vaistai-kaulu-ir-raumenu-sistemos-ligoms-gydyti"
"Kiti vaistai naudojami gerybinei prostatos hipertrofijos gydymui","kiti-vaistai-naudojami-gerybinei-prostatos-hipertrofijos-gydymui","urologiniai-vaistai"
"Kiti vaistai tuberkuliozės gydymui","kiti-vaistai-tuberkuliozes-gydymui","priesmikobakteriniai-vaistai"
"Kiti vazodilatatoriai širdies ligoms gydyti","kiti-vazodilatatoriai-sirdies-ligoms-gydyti","sirdi-veikiantys-vaistai"
"Kiti vietinio poveikio preparatai burnai","kiti-vietinio-poveikio-preparatai-burnai","stomatologiniai-preparatai"
"Kiti vietinio vartojimo vaistai spuogams gydyti","kiti-vietinio-vartojimo-vaistai-spuogams-gydyti","vaistai-spuogams-gydyti"
"Kiti vietinio veikimo preparatai slogos gydymui","kiti-vietinio-veikimo-preparatai-slogos-gydymui","vaistai-nosies-ligoms-gydyti"
"Kiti vietinio veikimo priešgrybeliniai vaistai","kiti-vietinio-veikimo-priesgrybeliniai-vaistai","priesgrybeliniai-vaistai-vartojami-odos-ligoms-gydyti"
"Kiti vietinio veikimo sanarių skausmus mažinantys vaistai","kiti-vietinio-veikimo-sanariu-skausmus-mazinantys-vaistai","vietiskai-vartojami-vaistai-sanariu-ir-raumenu-skausmui-malsinti"
"Kiti vietiškai veikiantys antihemorojiniai preparatai","kiti-vietiskai-veikiantys-antihemorojiniai-preparatai","vazoprotektoriai"
"Kitos bakterinės vakcinos","kitos-bakterines-vakcinos","vakcinos"
"Kitos diagnostinės medžiagos","kitos-diagnostines-medziagos","diagnostiniai-preparatai"
"Klizmos","klizmos","vidurius-paleidziantys-vaistai"
"Kojų priežiūros priemonės","koju-prieziuros-priemones","kosmetines-priemones"
"Kolonijas stimuliuojantys faktoriai","kolonijas-stimuliuojantys-faktoriai","imunomoduliuojantys-vaistai"
"Kontaktiniai vidurius paleidžiantys vaistai","kontaktiniai-vidurius-paleidziantys-vaistai","vidurius-paleidziantys-vaistai"
"Kortikosteroidai","kortikosteroidai","vaistai-nosies-ligoms-gydyti"
"Kortikosteroidai vietiniam naudojimui","kortikosteroidai-vietiniam-naudojimui","antidiarejiniai-vaistai-vaistai-zarnyno-infekcinems-ir-uzdegiminems-ligoms-gydyti"
"Kortikosteroidai, gryni","kortikosteroidai-gryni","vaistai-akiu-ligoms-gydyti"
"Kortikosteroidų ir antiinfekcinių preparatų deriniai","kortikosteroidu-ir-antiinfekciniu-preparatu-deriniai","vaistai-akiu-ligoms-gydyti"
"Kosmetiniai pleistrai","kosmetiniai-pleistrai","kosmetines-priemones"
"Kraujo krešėjimo faktoriai","kraujo-kresejimo-faktoriai","antihemoraginiai-vaistai"
"Ksantinai","ksantinai","antiastminiai-vaistai"
"Kūno priežiūros priemonės","kuno-prieziuros-priemones","kosmetines-priemones"
"Kvėpavimo stimuliatoriai","kvepavimo-stimuliatoriai","kiti-kvepavimo-sistema-veikiantys-vaistai"
"Labai stipraus poveikio kortikosteroidai (IV grupė)","labai-stipraus-poveikio-kortikosteroidai-iv-grupe","kortikosteroidai-odos-ligoms-gydyti"
"Leukotrienų receptorių antagonistai","leukotrienu-receptoriu-antagonistai","antiastminiai-vaistai"
"Linkozamidai","linkozamidai","sistemiskai-veikiantys-antibakteriniai-vaistai"
"Litis","litis","psicholeptikai"
"Lubrikantai","lubrikantai","seksualines-sveikatos-prekes"
"M cholinamimetikai","m-cholinamimetikai","vaistai-akiu-ligoms-gydyti"
"M cholinoblokatoriai","m-cholinoblokatoriai","vaistai-akiu-ligoms-gydyti"
"Magnis","magnis","mineralines-medziagos"
"Makrolidai","makrolidai","sistemiskai-veikiantys-antibakteriniai-vaistai"
"Matuokliai","matuokliai","matuokliai-ir-kiti-el-prietaisai"
"Meningokokinės vakcinos","meningokokines-vakcinos","vakcinos"
"Metildopa","metildopa","kraujospudi-mazinantys-vaistai"
"Mg preparatai","mg-preparatai","maisto-papildai"
